id,followers,username,own_time,last_time,Hop,Non_follower
1568139736501391362,126,JustAyoooo,26644,26644,3,0
931988616473128960,63,jojolawson5,26670,26670,1,0
1106885054049988610,106,__lucymarshall,26670,26670,1,0
773215822927896576,85,solidsteelepj,26624,26624,1,0
282258094,626,Designedbytyree,26622,667808,2,0
796559216513339392,1365,_xniya,26556,488771,2,0
884532233758965760,1714,leratonkosi_,26552,667808,1,0
3294793596,5759,kofiwest_gh,26544,667808,1,0
3458108237,6615,itz_skomo,26478,667808,1,0
1976289769,1330,its_immanuel,26462,667808,2,0
1197135012656640001,182,assiyaxo,26454,87238,1,0
1309752391395414016,108,jimsmagle,26442,667808,0,1
1190201856624152576,506,UC_nuell,26405,667808,3,0
1730496938,2463,tooshyryry,26386,667808,1,0
349146282,880,KenziNakole,26320,26320,1,0
356285020,301,iambrytemillz,26310,667808,1,0
1117733519499853824,26,TheLeoMooon,26310,667808,1,0
1007717819134423042,1459,__kvnnest,26243,667808,1,0
242188687,958,_Bee_Gee,26238,125612,1,0
3003061051,1129,dragonimala,26210,26210,1,0
858652279,421,mattteseniar,26238,26238,2,0
888344080756994049,1125,MicAnaneRoll,26184,667808,2,0
1290199687,211,Limbo_Mental,26180,26180,1,0
2210293951,603,Hakimhimself,26159,26159,1,0
1593636986,577,MysticLove888,26166,26166,1,0
564803714,857,18leyrola,26140,26140,1,0
566021157,752,uhhhmanii,26166,26166,0,1
1002232300589998080,946,DriFlyinFree_92,26125,667808,2,0
2817961496,81,vic_robless,26094,36325,1,0
1591749760075153408,3,AkuaBoat01,26094,26094,3,0
1480394062893096965,242,_iamtaiin,26058,423289,0,1
1005198003509121024,706,Beaaaapires,26038,44724,1,0
1179163076039499776,1721,KwajoNiceman,26033,667808,2,0
942523581250064385,78,kassidilynne_,26026,26026,1,0
1209109077370056704,450,LuwaniiKawonga,25981,667808,2,0
2482530595,1956,tyrindukes,25974,667808,1,0
4111312633,6506,Haggai_ZM,25950,667808,1,0
1408424443832156162,88,ProductiveSuave,25888,25888,1,0
1627888104278204420,11,NNdunu,25885,25885,0,1
405239621,760,Bright_Future__,25881,667808,1,0
1575463309,684,busim261,25816,123452,0,1
290766172,461,iamadariusr,25806,25806,1,0
735557428134215686,1283,awedam_,25806,667808,2,0
2861441045,4053,thotlesschris,25806,667808,2,0
1023222105117216768,376,selvyyyr,25728,25728,1,0
1244389940810694657,54,Anna__stassie,25702,667808,3,0
955834978834763776,70,Teeshhbby_,25698,25698,1,0
1621389960,11354,Lexaz_Lexaz,25689,667808,2,0
1199303450695262208,9,lexandre2307,25668,241704,0,1
1301104247392661504,94,d_eyzho,25662,667808,4,0
174307411,1716,ambozetious__,25555,667808,2,0
91650974,5057,onlyonejj22,25498,667808,2,0
160379804,1459,NefertitisOwn,25519,667808,2,0
220086522,1081,Brickelgreen,25476,667808,2,0
1625900814203072517,608,skerrrrrrup,25475,667808,1,0
4138920194,145,Kikii_wrldd,25453,92936,1,0
63884260,1022,freeverse9,25438,25438,1,0
1209598824605536256,2397,M00NB0Y_,25447,667808,2,0
1095078285527138304,2647,Anth0eny,25447,667808,2,0
1604093477029019650,73,BahstonBerto,25401,25401,1,0
155717752,699,motivatedtim,25389,25389,1,0
906246647214198784,20013,eko_daddy,25384,667808,1,0
1225298298132746240,4140,IMgoodyz,25375,667808,1,0
1459058828264235012,585,hot__mes,25364,667808,1,0
357228797,545,avaaaln,25320,25320,1,0
1319815950124879874,34,oluwa_pe_l_u_mi,25247,667808,3,0
890654291664527361,131,PINK0RDEI,25228,667808,3,0
746315655016767488,870,JoeyLowso,25230,667808,2,0
3139307089,337,Chibikocchi,25219,25219,2,0
910800252,737,shemaharris,25230,667808,2,0
893281788,1144,DeedesiDee,25175,667808,3,0
569091798,1539,ShakaEmzyman,25158,667808,1,0
2377652120,1125,alliemontanaa,25158,86633,1,0
811294599692095488,2015,maya_gyamz,25110,667808,2,0
828712911354941440,61,CocaineCouzint,25108,73032,1,0
30505138,615,xBaby_Bam,25092,29766,1,0
50817460,576,SixFootBachelor,25091,667808,1,0
2737720446,45,klaudiamant,25081,146620,1,0
472514336,1112,brenae_15,25056,667808,3,0
1649948084,3300,mn_reabetswe,25087,667808,3,0
1089260043864887296,209,babs_blu,25042,667808,2,0
1578487398190780419,31,setifieddd,25037,667808,2,0
3874608749,1045,Ali_Baba_KSI,25036,667808,0,1
732742915,714,S_FND0,25004,667808,1,0
1272278128203833345,89,jawwnnn__,24981,667808,3,0
1544025841,1068,kxtlynp,24956,667808,1,0
1516710399843966979,191,sogiefredric,24947,24947,0,1
875991100279984129,154,libragirlcat,24931,30487,1,0
1262855428310028288,261,glowinthe_,24943,667808,2,0
3683297362,1054,senamnidal,24898,667808,2,0
991976092671135744,1112,igobysamkelo,24896,667808,1,0
1529983194,4618,unicornrare6,24871,667808,1,0
1437855449651499010,95,captainncookies,24856,24856,1,0
1336227182767730688,44,BrendaSoEpic,25230,25230,0,1
2251075653,165,vxguard27,24818,24818,1,0
328718790,912,DoitLikeeMee,24814,667808,0,1
1343526014002069506,48,hopenoeel,24809,667808,1,0
1477746576600797184,420,chapohenri_,24799,667808,2,0
126609024,1944,carefreeafrican,24710,667808,1,0
1462110652726657026,16,HeremansLisa,24727,24727,1,0
3177745517,206,Whatupwill_,24677,24677,1,0
27665984,626,THat_Partt,24666,24666,1,0
61771501,1049,Jbofia,24651,667808,2,0
2252819143,367,mlneg_,24635,24635,1,0
969588894416166912,45,tafaaaa_,24583,30266,1,0
1212341525000028160,983,ak_ree11,24583,667808,2,0
729429263464710145,3971,Rocket_Team_,24546,667808,3,0
1349401157769326599,66,ShaLom45769954,24544,24544,1,0
1931915600,628,Fiona__vibes,24541,667808,2,0
1936247664,653,micahjmunoz,24526,24526,1,0
1061832763672879104,1103,cinnasnaxx,24521,667808,1,0
1322003905421758465,239,maetjes,24511,24511,0,1
453352957,211,henrycbaddour,24462,24462,1,0
1467579722146144268,62,_Yusuph__,24459,24459,1,0
