id,time,type,prev_id,Engagement_index,Hop,Non_follower
27133902,0,tweet,27133902,0,-1,0
1141332959305314305,656807,reply,1141332959305314305,0,1,0
1616408764596322304,651506,reply,1616408764596322304,0,1,0
138553155,587484,reply,138553155,0,1,0
912664927,569670,reply,912664927,0,1,0
1270246300102123521,550805,reply,1270246300102123521,0,0,1
1504146425864765442,496319,reply,1504146425864765442,0,1,0
833736721,494941,reply,833736721,0,2,0
421582380,486821,reply,421582380,0,1,0
1254469954692435976,486287,reply,1254469954692435976,0,1,0
1312434349560692738,422893,reply,1312434349560692738,0,1,0
816156441912315905,418844,reply,816156441912315905,0,1,0
1306618145759735811,407510,reply,1306618145759735811,0,2,0
1041024289334616064,389702,reply,1041024289334616064,0,1,0
1415905283583393795,383120,reply,1415905283583393795,0,1,0
710934762458845185,381503,reply,710934762458845185,0,1,0
1248592962252148742,324701,reply,1248592962252148742,0,1,0
350016249,316024,reply,350016249,0,1,0
1486172533,315446,reply,1486172533,0,1,0
2253197456,308027,reply,2253197456,0,1,0
86613430,304603,reply,86613430,0,1,0
1234963754464485376,300926,reply,1234963754464485376,0,1,0
3395804534,277656,reply,3395804534,0,1,0
794567376989601792,252744,reply,794567376989601792,0,1,0
1616257112,230265,reply,1616257112,0,1,0
3302068367,223721,reply,3302068367,0,1,0
21603140,217087,reply,21603140,0,2,0
2169749384,198241,reply,2169749384,0,1,0
1074569904702062593,184894,reply,1074569904702062593,0,0,1
1299338976344539138,163098,reply,1299338976344539138,0,1,0
1460763980,148110,reply,1460763980,0,1,0
1477358778773352453,144762,reply,1477358778773352453,0,1,0
155971700,136434,reply,155971700,0,2,0
1328308881827782659,134636,reply,1328308881827782659,0,0,1
1243891093210640384,130672,reply,1243891093210640384,0,0,1
158433221,125512,reply,158433221,0,3,0
1270224446662627335,124970,reply,1270224446662627335,0,1,0
1626382249691172864,122022,reply,1626382249691172864,0,0,1
1457478433034932232,120287,reply,1457478433034932232,0,0,1
142888110,119549,reply,142888110,0,2,0
1377371360,116761,reply,1377371360,0,1,0
3123628639,116043,reply,3123628639,0,2,0
1338447866788974592,114190,reply,1338447866788974592,0,2,0
1209308920935792640,113378,reply,1209308920935792640,0,1,0
797045770692083712,108947,reply,797045770692083712,0,1,0
820561930289053696,108882,reply,820561930289053696,0,1,0
1582070715255328769,102440,reply,1582070715255328769,0,1,0
1534106416373452802,97868,reply,1534106416373452802,0,2,0
2471763136,96959,reply,2471763136,0,3,0
3780297193,95798,reply,3780297193,0,1,0
1329058571267547138,85916,reply,1329058571267547138,0,1,0
132429304,85547,reply,132429304,0,1,0
1329143401615400965,79127,reply,1329143401615400965,0,1,0
803185814314319872,78869,reply,803185814314319872,0,1,0
868517310788763650,78856,reply,868517310788763650,0,1,0
1124797244698505217,78217,reply,1124797244698505217,0,1,0
1147970821383696389,75486,reply,1147970821383696389,0,2,0
1225898068320702465,74743,reply,1225898068320702465,0,3,0
1157314060192538624,73218,reply,1157314060192538624,0,2,0
1318654757796458497,68520,reply,1318654757796458497,0,0,1
1116004095456894979,66702,reply,1116004095456894979,0,2,0
842741072610574336,66696,reply,842741072610574336,0,2,0
1612373697976832000,66478,reply,1612373697976832000,0,2,0
1024039185324367873,65528,reply,1024039185324367873,0,1,0
1167540548284104704,63596,reply,1167540548284104704,0,2,0
1229905363350192130,63556,reply,1229905363350192130,0,3,0
1386619871811686403,62445,reply,1386619871811686403,0,0,1
1621805313287458817,62161,reply,1621805313287458817,0,0,1
1414597496274395143,61873,reply,1414597496274395143,0,2,0
1183317920090382336,61485,reply,1183317920090382336,0,2,0
1470213320217145345,61402,reply,1470213320217145345,0,1,0
801957679,61370,reply,801957679,0,2,0
1512810092428771330,60591,reply,1512810092428771330,0,1,0
1496638055540744198,59802,reply,1496638055540744198,0,0,1
1665399054,58509,reply,1665399054,0,1,0
345544880,57840,reply,345544880,0,2,0
1169994864332853248,57638,reply,1169994864332853248,0,2,0
43014530,56752,reply,43014530,0,1,0
1157511763,56540,reply,1157511763,0,1,0
527726187,56482,reply,527726187,0,2,0
855493100,55512,reply,855493100,0,2,0
753980126,55035,reply,753980126,0,3,0
804309374,54979,reply,804309374,0,1,0
804309374_1,54947,reply,804309374,1,1,0
804309374_2,54941,reply,804309374,2,1,0
1627987259298545665,54581,reply,1627987259298545665,0,0,1
435011866,53808,reply,435011866,0,1,0
1266054363031711744,53228,reply,1266054363031711744,0,1,0
1589497809488822272,51686,reply,1589497809488822272,0,0,1
1612807927768797189,51416,reply,1612807927768797189,0,1,0
1387725168202637314,51206,reply,1387725168202637314,0,1,0
