id,time,type
1108050829393707008,0,tweet
1311849206689271808,7.0,retweet
754127472,8.0,retweet
1534965679534788616,9.0,reply
136481397,10.0,retweet
1318652389621223424,11.0,retweet
882179575,12.0,retweet
263501222,16.0,quote
39835250,17.0,reply
744136402242244608,18.0,retweet
1463222841525026818,21.0,retweet
374301259,23.6187,like
467782744,23.618702,like
2176188075,23.618703,like
595084984,23.618707,like
1219899283,23.618709,like
29070140,23.618709,like
602234188,23.618713,like
767901973219803136,23.618724,like
1316154023930667011,23.618725,like
979526499257733122,23.618727,like
2859975924,23.618728,like
3484373062,23.618739,like
857606925822771200,23.61874,like
1275839467161554946,23.618742,like
1431458588,23.618744,like
29858684,23.618757,like
47773672,23.61876,like
755115991,23.618766,like
90930419,23.618768,like
2783042703,23.618771,like
390124664,23.618773,like
4238586736,23.618775,like
1149610154,23.618777,like
758050968923672578,23.618782,like
1292950543,23.618784,like
343598083,23.618789,like
2756873431,23.618794,like
2238194384,23.618796,like
2523735844,23.618798,like
1022268167232671746,23.6188,like
1097508550522351616,23.618802,like
1273854733,23.618804,like
824238634702372866,23.618806,like
73492263,23.618808,like
982418070567378944,23.618812,like
43474873,23.618815,like
1269067016260005889,23.618876,like
1069825218506452992,23.618876,like
820648641631289344,23.618879,like
1137449287816814592,23.618881,like
1275287215732453376,23.618888,like
55928883,23.61889,like
454177286,23.618895,like
392378373,23.6189,like
1458215739370913794,23.6189,like
270853,23.618902,like
256218309,23.618905,like
2432923585,23.618908,like
906991962,23.61891,like
85461577,23.618912,like
304698101,23.618915,like
358976131,23.61892,like
1509308226013171714,23.618935,like
27642344,23.618937,like
993337304,23.618937,like
2358522876,23.618937,like
39835250,23.618937,like
2318216364,23.618937,like
879466070561652736,23.618937,like
1009564476780277760,23.618937,like
1188979911958118400,23.618937,like
4849896695,23.618937,like
1200599587985211394,23.618937,like
1051350757910503424,23.618937,like
1323723862664650752,23.618937,like
1341858888547782659,23.618937,like
1367446210823548928,23.618937,like
1257444927367086080,23.618937,like
852378925661659137,23.618937,like
534907901,23.618937,like
1198174776,23.618937,like
1342580182889209857,23.618937,like
754127472,23.618937,like
90966224,23.618937,like
812732179797213184,23.618937,like
1512962054637993991,23.618937,like
946080595393859584,23.618937,like
947696067239448576,23.618937,like
832701045004333057,23.618937,like
