Target,Source
1311849206689271808,1108050829393707008
754127472,1108050829393707008
1534965679534788616,1108050829393707008
136481397,1108050829393707008
1318652389621223424,1108050829393707008
882179575,1108050829393707008
263501222,1108050829393707008
39835250,1108050829393707008
744136402242244608,1108050829393707008
1463222841525026818,1108050829393707008
374301259,1108050829393707008
467782744,1108050829393707008
2176188075,1108050829393707008
595084984,1108050829393707008
1219899283,1108050829393707008
29070140,1108050829393707008
602234188,1108050829393707008
767901973219803136,1108050829393707008
1316154023930667011,1108050829393707008
979526499257733122,1108050829393707008
2859975924,1108050829393707008
3484373062,1108050829393707008
857606925822771200,1108050829393707008
1275839467161554946,1108050829393707008
1431458588,1108050829393707008
29858684,1108050829393707008
47773672,1108050829393707008
755115991,1108050829393707008
90930419,1108050829393707008
2783042703,1108050829393707008
390124664,1108050829393707008
4238586736,1108050829393707008
1149610154,1108050829393707008
758050968923672578,1108050829393707008
1292950543,1108050829393707008
343598083,1108050829393707008
2756873431,1108050829393707008
2238194384,1108050829393707008
2523735844,1108050829393707008
1022268167232671746,1108050829393707008
1097508550522351616,1108050829393707008
1273854733,1108050829393707008
824238634702372866,1108050829393707008
73492263,1108050829393707008
982418070567378944,1108050829393707008
43474873,1108050829393707008
1069825218506452992,1108050829393707008
820648641631289344,1108050829393707008
1137449287816814592,1108050829393707008
1275287215732453376,1108050829393707008
55928883,1108050829393707008
454177286,1108050829393707008
392378373,1108050829393707008
1458215739370913794,1108050829393707008
270853,1108050829393707008
256218309,1108050829393707008
2432923585,1108050829393707008
906991962,1108050829393707008
85461577,1108050829393707008
304698101,1108050829393707008
358976131,1108050829393707008
1509308226013171714,1108050829393707008
27642344,1108050829393707008
993337304,1108050829393707008
2358522876,1108050829393707008
39835250,1108050829393707008
2318216364,1108050829393707008
879466070561652736,1108050829393707008
1188979911958118400,1108050829393707008
4849896695,1108050829393707008
1200599587985211394,1108050829393707008
1051350757910503424,1108050829393707008
1323723862664650752,1108050829393707008
1367446210823548928,1108050829393707008
1257444927367086080,1108050829393707008
852378925661659137,1108050829393707008
534907901,1108050829393707008
1198174776,1108050829393707008
1342580182889209857,1108050829393707008
754127472,1108050829393707008
90966224,1108050829393707008
812732179797213184,1108050829393707008
1512962054637993991,1108050829393707008
946080595393859584,1108050829393707008
947696067239448576,1108050829393707008
832701045004333057,1108050829393707008
1206687564532502529,1108050829393707008
910693612144545792,1108050829393707008
259319605,1108050829393707008
722439049030447105,1108050829393707008
37935945,1108050829393707008
1123985437402570752,1108050829393707008
16246929,1108050829393707008
1344066665970085890,1108050829393707008
263501222,1108050829393707008
1421115764778491905,1108050829393707008
952729144273481728,1108050829393707008
59316733,1108050829393707008
1062456211495256064,1108050829393707008
960598173650767878,1108050829393707008
600516244,1108050829393707008
464967418,1108050829393707008
1264305988699553795,1108050829393707008
3379965442,1108050829393707008
1080198009164578816,1108050829393707008
20708195,1108050829393707008
1150611766390525952,1108050829393707008
143221257,1108050829393707008
287501174,1108050829393707008
845596563049209857,1108050829393707008
2238194384,1108050829393707008
1395366368850153487,1108050829393707008
1366989153548857345,1108050829393707008
85461577,1108050829393707008
1334174043327631360,1108050829393707008
1466183114435309568,1108050829393707008
1282525675107352578,1108050829393707008
1592890944503808001,1108050829393707008
1458215739370913794,1108050829393707008
314391787,1108050829393707008
214891794,1108050829393707008
771722305319804929,1108050829393707008
1295370659355332608,1108050829393707008
18742215,1108050829393707008
600516244,1108050829393707008
27973268,1108050829393707008
256251643,1108050829393707008
1570063583647522819,1108050829393707008
987081735274872834,1108050829393707008
1323723862664650752,1108050829393707008
341521979,1108050829393707008
34304369,1108050829393707008
1393596707116568576,1108050829393707008
1122174596348878848,1108050829393707008
1960782332,1108050829393707008
129126623,1108050829393707008
31606736,1108050829393707008
1650434701,1108050829393707008
259281151,1108050829393707008
758050968923672578,1108050829393707008
3325961286,1108050829393707008
269780033,1108050829393707008
1438212060219838477,1108050829393707008
1650434701,1108050829393707008
99407275,1108050829393707008
1108185914512158720,1108050829393707008
3074046029,1108050829393707008
1389934427552243713,1108050829393707008
556891894,1108050829393707008
706581232394502144,1108050829393707008
1563997287734542337,1108050829393707008
390124664,1108050829393707008
1452334573640196105,1108050829393707008
819999540,1108050829393707008
29799013,1108050829393707008
2165281082,1108050829393707008
365567035,1108050829393707008
124322616,1108050829393707008
477759528,1108050829393707008
1263274783,1108050829393707008
819999540,1108050829393707008
2854910189,1108050829393707008
440511800,1108050829393707008
1511056909931102212,1108050829393707008
1609981258741817345,1108050829393707008
477027401,1108050829393707008
1545458420328824832,1108050829393707008
499322536,1108050829393707008
1143796956,1108050829393707008
3237732707,1108050829393707008
2917049154,1108050829393707008
30282983,1108050829393707008
547267779,1108050829393707008
1048742326116540417,1108050829393707008
1301314657253232642,1108050829393707008
190751193,1108050829393707008
867355335979401216,1108050829393707008
1387062839043575809,1108050829393707008
1161341674397806595,1108050829393707008
233250401,1108050829393707008
990015535827030016,1108050829393707008
52112538,1108050829393707008
1686837134,1108050829393707008
1448584399566610440,1108050829393707008
408242071,1108050829393707008
292510991,1108050829393707008
1434668722925494275,1108050829393707008
20804719,1108050829393707008
762764785486213120,1108050829393707008
29138890,1108050829393707008
190876067,1108050829393707008
88551677,1108050829393707008
631538255,1108050829393707008
2854910189,1108050829393707008
1019923036856864768,1108050829393707008
1270024417,1108050829393707008
1027388626005569537,1108050829393707008
433572525,1108050829393707008
124120998,1108050829393707008
2456936042,1108050829393707008
1362283810604384257,1108050829393707008
714205371213058048,1108050829393707008
916068200,1108050829393707008
19390775,1108050829393707008
266958555,1108050829393707008
1488630661657378819,1108050829393707008
329899748,1108050829393707008
3044261328,1108050829393707008
54667354,1108050829393707008
1939699640,1108050829393707008
141228335,1108050829393707008
3296978477,1108050829393707008
2264740853,1108050829393707008
1323484785918963713,1108050829393707008
28705030,1108050829393707008
745628412518137857,1108050829393707008
2364184196,1108050829393707008
432295899,1108050829393707008
3419977851,1108050829393707008
1416924886967144450,1108050829393707008
567372543,1108050829393707008
1550158475740717056,1108050829393707008
943294351597342720,1108050829393707008
1088421044581486594,1108050829393707008
560511644,1108050829393707008
30290333,1108050829393707008
121109710,1108050829393707008
16671445,1108050829393707008
1681786813,1108050829393707008
875862125192896512,1108050829393707008
819999540,1108050829393707008
1108852870215016448,1108050829393707008
38635608,1108050829393707008
5727862,1108050829393707008
255816765,1108050829393707008
1262896167370870790,1108050829393707008
31488550,1108050829393707008
838382833856991233,1108050829393707008
45943445,1108050829393707008
2266826102,1108050829393707008
750135093176532992,1108050829393707008
1033512129834508289,1108050829393707008
1226732127573729281,1108050829393707008
38482846,1108050829393707008
476910221,1108050829393707008
341521979,1108050829393707008
50119609,1108050829393707008
1458638312315539456,1108050829393707008
1143621971806183424,1108050829393707008
58206175,1108050829393707008
993621416519061505,1108050829393707008
82275159,1108050829393707008
1295370659355332608,1108050829393707008
1345864407818104834,1108050829393707008
987081735274872834,1108050829393707008
1451356822623883265,1108050829393707008
1449195310098624512,1108050829393707008
741797786,1108050829393707008
175559985,1108050829393707008
619468138,1108050829393707008
1265679212557541377,1108050829393707008
3038267498,1108050829393707008
54444409,1108050829393707008
312872457,1108050829393707008
1383138300236546049,1108050829393707008
1519753261338677248,1108050829393707008
2838873046,1108050829393707008
297231293,1108050829393707008
59257519,1108050829393707008
1960782332,1108050829393707008
2277236063,1108050829393707008
320589250,1108050829393707008
41360439,1108050829393707008
891885672,1108050829393707008
206910941,1108050829393707008
3338313671,1108050829393707008
3404780937,1108050829393707008
18742215,1108050829393707008
29930015,1108050829393707008
743054228,1108050829393707008
1498086269288534016,1108050829393707008
1340803002,1108050829393707008
61584688,1108050829393707008
836861785,1108050829393707008
1012402749328318464,1108050829393707008
1123336900968943616,1108050829393707008
1189995304352923649,1108050829393707008
320968137,1108050829393707008
1260556014,1108050829393707008
203783807,1108050829393707008
1456713310724923399,1108050829393707008
426836456,1108050829393707008
314127422,1108050829393707008
3325961286,1108050829393707008
2468429307,1108050829393707008
1300169775285497857,1108050829393707008
48154028,1108050829393707008
2261994710,1108050829393707008
31979292,1108050829393707008
1297396348950646784,1108050829393707008
164539429,1108050829393707008
31606736,1108050829393707008
4870188519,1108050829393707008
1327921922,1108050829393707008
733820343626936320,1108050829393707008
1650434701,1108050829393707008
259555751,1108050829393707008
886004581984911360,1108050829393707008
868978686,1108050829393707008
37492920,1108050829393707008
501047592,1108050829393707008
65060432,1108050829393707008
790238585349873665,1108050829393707008
55579449,1108050829393707008
322417762,1108050829393707008
23158292,1108050829393707008
106231960,1108050829393707008
1040182788585123840,1108050829393707008
232671163,1108050829393707008
1354906162953662469,1108050829393707008
229617480,1108050829393707008
614629718,1108050829393707008
1175480579372044293,1108050829393707008
1631859361,1108050829393707008
2874573717,1108050829393707008
556891894,1108050829393707008
330102914,1108050829393707008
1170462682908172288,1108050829393707008
129009576,1108050829393707008
1535467958,1108050829393707008
