id,followers,username,last_time,Hop
27133902,1039296,6lack,667808,-1
1141332959305314305,2,officiial_anas,656807,1
1616408764596322304,1,SebazMoon,651506,1
138553155,707,lifeetbc,591160,1
912664927,1186,MCMXCVI_A,569670,1
1270246300102123521,499,SathulaBongani,550805,0
1504146425864765442,37,YoungDr37448565,496319,1
833736721,198,SurafaleA,667808,2
421582380,307,JesusWuzzAJew,486821,1
1254469954692435976,1146,ExtremelyKole,667808,1
1312434349560692738,42,slaw803,422893,1
816156441912315905,383,Rlph_XX,418844,1
1306618145759735811,1073,KCYON3,667808,2
1041024289334616064,33,pninasasson,389702,1
1415905283583393795,1,idkgod18,383120,1
710934762458845185,39,QuovadisW,381503,1
1248592962252148742,219,tiaalh_,406353,1
350016249,178,jbarrett195,486615,1
1486172533,146,missashleh,315446,1
2253197456,1437,admirethegirl,308027,1
86613430,254,_LaLucky,304603,1
1234963754464485376,101,2hard2kiII,300926,1
3395804534,90,goodhumanstan,277656,1
794567376989601792,288,rajenn714,252744,1
1616257112,356,imdrizzy_ng,667808,1
3302068367,312,Justmonaja,223721,1
21603140,1011,robjhump,217087,2
2169749384,72,moeluvlyj_long,198241,1
1074569904702062593,23,DonnyFebles,184894,0
1299338976344539138,15,sabrina_muhree,163156,1
1460763980,73,zizzofalolu_17,148110,1
1477358778773352453,205,jordaniiaa_,144762,1
155971700,1366,Skeezy89,667808,2
1328308881827782659,355,vvsgideon1,667808,0
1243891093210640384,191,andrew_3stacks,130672,0
158433221,2145,mcknz02,667808,3
1270224446662627335,35,Justpatrick12,124970,1
1626382249691172864,24,jeantopaz3,122022,0
1457478433034932232,150,oloyedey4u0,120287,0
142888110,102,MesWilliams,119549,2
1377371360,7,SteedSimon,116761,1
3123628639,907,AgwomJoshua,667808,2
1338447866788974592,229,kamo05121,114190,2
1209308920935792640,122,WisdomOchei,113380,1
797045770692083712,150,bavii94,108947,1
820561930289053696,1419,arnold_notes1,667808,1
1582070715255328769,491,capitalgains_zw,102440,1
1534106416373452802,1970,4StarboyymiEezy,667808,2
2471763136,1183,Booitii,667808,3
3780297193,94,SevyPay100,95798,1
1329058571267547138,15,OhhyeahhJordan,85916,1
132429304,38,PRPLNNJATRTL,85547,1
1329143401615400965,43,MicahRo53546999,79127,1
803185814314319872,191,dece_tutt,78887,1
868517310788763650,67,drop_that_joint,78856,1
1124797244698505217,568,slowlytxx,78308,1
1147970821383696389,64,goldengodnora,75486,2
1225898068320702465,353,overratedFrank,667808,3
1157314060192538624,2,ID3NT1TY19,73218,2
1318654757796458497,153,xamitexmusic,68520,0
1116004095456894979,693,switcherooooo,667808,2
842741072610574336,4233,splendor_obasi,667808,2
1612373697976832000,131,e_o_b__99,66478,2
1024039185324367873,93,MlohDj,65528,1
1167540548284104704,522,real_favoryt,667808,2
1229905363350192130,174,Jamie_ose,667808,3
1386619871811686403,15,David61271273,62445,0
1621805313287458817,2,LILDOPEXT,62161,0
1414597496274395143,1067,MJayLeso,667808,2
1183317920090382336,383,_grim_umar,667808,2
1470213320217145345,379,kaiokev,61402,1
801957679,6611,Chukky_Alozie,667808,2
1512810092428771330,7,BoitumelloNA96,60591,1
1496638055540744198,99,SIRTWAK_,59802,0
1665399054,301,AzBold08,667808,1
345544880,7340,kylaaaa__,667808,2
1169994864332853248,2134,oluwatobi_x,667808,2
43014530,1097,LisoIsCold,56752,1
1157511763,56,barbiecaruso31,56540,1
527726187,275,TheKolorBlue,667808,2
855493100,1550,Hadassxh,667808,2
753980126,245,Nsuami_Boursier,55035,3
804309374,2177,thisfreedreamer,54979,1
1627987259298545665,1,sanjuanita_f,54581,0
435011866,3496,Theleaguesmusic,667808,1
1266054363031711744,5493,TysonMthembu_,667808,1
1589497809488822272,440,ThandiMkhize9,51686,0
1612807927768797189,0,zeing_aer,51439,1
1387725168202637314,18,Tommywenceslaus,51206,1
441666623,3269,sami_incredible,667808,2
1619412995402080257,121,shalala_simonda,154273,1
1480204800,8761,gifkeyboard,116445,0
2927982057,3667,Oshorenoya_,667808,1
999313375350976513,371,_Summerhuz,667808,2
521011911,48,bragabrunoo97,47554,2
831754839071784960,132,OzukumAyang,47085,0
4088715447,1515,deejjerry,667808,1
1194046882827378695,89,1Luv1King,46412,1
1211874157878603776,6,mariellehabibti,45746,1
1099380107188277259,22,trey_figueroa,44868,1
932641792578727936,197,luuciti_,44582,2
4817218460,246,blerd87,223423,1
1638744933162192896,67,jadiep00hh,667808,3
103426592,1378,URBANTHAMAN,667808,2
1517075267365314561,420,blairhxxy414,667808,3
946716372,607,mselenaz,131038,1
1324617874309287936,2335,BobyRae_,667808,2
1160998352911101953,975,slimesrirracha,569294,1
1583794478766346240,31,Markenio7,41577,1
4038785165,543,clb_haze,667808,1
993132780757442562,1346,M_EX__Mngambi,667808,1
4506108435,44,hitback_,39672,1
1264099969176342528,185,kyngxxxz,667808,1
527684231,736,_Dakol,667808,1
797580819120406528,1113,fayorseyadams,667808,1
1075420120783220741,43,liza_overheard,37635,1
28189337,702,HeyEskee,38722,2
361239201,627,nathaliavbraz,37226,1
3411003424,248,calebromero829,37169,1
1457380254662733826,1099,BiggCwesi,667808,3
1267552385553088519,290,jalaadayy,50139,3
491457681,291,Sybotic,35991,1
943994467966771200,236,enchanthoneyy,35173,0
1387885166425776130,743,Kutlwayne_,667808,1
879842035976605697,1356,_MaGatyeni_,667808,2
1200567756611112960,36,allenrixxx,35033,0
78455925,650,sahanaj,68266,1
271679201,345,keontaenorm,667808,1
61343396,1698,RicDiaghe,667808,1
1019362524947460096,15,carlosaresjr,33414,0
1059168296916975617,133,FolaRanking001,32649,3
844784174,98,Fijian_flow727,31938,1
1562442030,38,phinaldol,31854,0
1384983901802799113,25,katie10160676,31053,0
1286220727746564097,1676,__Dipronesis542,667808,2
3043472897,477,SPHAMANDLAKOKI,667808,2
1599960819525210113,8,rileytown4,30351,1
1379371302,4688,darlytheboy,667808,2
194512111,140,NayBleedsGreen,95371,1
1634313418667700235,191,Oluwatobitweet_,29575,0
1379864533142007818,346,OmahVibeZz,667808,0
56174569,195,MTCMCMXCI,39664,1
740289692256587777,952,alexiia_CAMps,26617,1
3645725489,53,Greyguzz,26045,0
1626503711152394241,5,n0xxxstar,25628,0
19729275,338,LordNazie,25563,1
2758599058,114,mwakayanga,667808,3
294689931,4633,djzhiro1,667808,2
180727748,2133,akosua_win,667808,2
801586727307661312,307,sxrxhdm,22851,0
1429121215403380743,382,Darkgold37,22822,1
1203633554036600833,386,Adesanya__,667808,2
936730549934321664,1473,BoutSurvival,667808,1
3318408462,217,q_baiz,667808,1
