id,time,type
27133902,0,tweet
1141332959305314305,656807,reply
1616408764596322304,651506,reply
138553155,587484,reply
912664927,569670,reply
1270246300102123521,550805,reply
1504146425864765442,496319,reply
833736721,494941,reply
421582380,486821,reply
1254469954692435976,486287,reply
1312434349560692738,422893,reply
816156441912315905,418844,reply
1306618145759735811,407510,reply
1041024289334616064,389702,reply
1415905283583393795,383120,reply
710934762458845185,381503,reply
1248592962252148742,324701,reply
350016249,316024,reply
1486172533,315446,reply
2253197456,308027,reply
86613430,304603,reply
1234963754464485376,300926,reply
3395804534,277656,reply
794567376989601792,252744,reply
1616257112,230265,reply
3302068367,223721,reply
21603140,217087,reply
2169749384,198241,reply
1074569904702062593,184894,reply
1299338976344539138,163098,reply
1460763980,148110,reply
1477358778773352453,144762,reply
155971700,136434,reply
1328308881827782659,134636,reply
1243891093210640384,130672,reply
158433221,125512,reply
1270224446662627335,124970,reply
1626382249691172864,122022,reply
1457478433034932232,120287,reply
142888110,119549,reply
1377371360,116761,reply
3123628639,116043,reply
1338447866788974592,114190,reply
1209308920935792640,113378,reply
797045770692083712,108947,reply
820561930289053696,108882,reply
1582070715255328769,102440,reply
1534106416373452802,97868,reply
2471763136,96959,reply
3780297193,95798,reply
1329058571267547138,85916,reply
132429304,85547,reply
1329143401615400965,79127,reply
803185814314319872,78869,reply
868517310788763650,78856,reply
1124797244698505217,78217,reply
1147970821383696389,75486,reply
1225898068320702465,74743,reply
1157314060192538624,73218,reply
1318654757796458497,68520,reply
1116004095456894979,66702,reply
842741072610574336,66696,reply
1612373697976832000,66478,reply
1024039185324367873,65528,reply
1167540548284104704,63596,reply
1229905363350192130,63556,reply
1386619871811686403,62445,reply
1621805313287458817,62161,reply
1414597496274395143,61873,reply
1183317920090382336,61485,reply
1470213320217145345,61402,reply
801957679,61370,reply
1512810092428771330,60591,reply
1496638055540744198,59802,reply
1665399054,58509,reply
345544880,57840,reply
1169994864332853248,57638,reply
43014530,56752,reply
1157511763,56540,reply
527726187,56482,reply
855493100,55512,reply
753980126,55035,reply
804309374,54979,reply
804309374_1,54947,reply
804309374_2,54941,reply
1627987259298545665,54581,reply
435011866,53808,reply
1266054363031711744,53228,reply
1589497809488822272,51686,reply
1612807927768797189,51416,reply
1387725168202637314,51206,reply
441666623,51133,reply
1619412995402080257,51077,reply
1480204800,49608,reply
2927982057,47956,reply
999313375350976513,47869,reply
441666623_1,47616,reply
521011911,47554,reply
831754839071784960,47085,reply
4088715447,46812,reply
1194046882827378695,46412,reply
1211874157878603776,45746,reply
1099380107188277259,44839,reply
932641792578727936,44582,reply
4817218460,44561,reply
1638744933162192896,44416,reply
103426592,43400,reply
1517075267365314561,43387,reply
946716372,43305,reply
1324617874309287936,42999,reply
1160998352911101953,42009,reply
1583794478766346240,41521,reply
1583794478766346240_1,41467,reply
4038785165,41467,reply
1583794478766346240_2,41431,reply
993132780757442562,40172,reply
4506108435,39672,reply
1264099969176342528,39117,reply
527684231,38047,reply
797580819120406528,37948,reply
1075420120783220741,37605,reply
28189337,37209,reply
361239201,37198,reply
3411003424,37169,reply
1457380254662733826,37164,reply
1267552385553088519,36476,reply
491457681,35991,reply
943994467966771200,35168,reply
1387885166425776130,35089,reply
879842035976605697,35074,reply
1200567756611112960,35033,reply
78455925,34711,reply
271679201,34672,reply
61343396,33916,reply
1019362524947460096,33414,reply
1059168296916975617,32649,reply
844784174,31933,reply
1562442030,31854,reply
1384983901802799113,31053,reply
1286220727746564097,30888,reply
3043472897,30821,reply
1599960819525210113,30351,reply
1379371302,30288,reply
194512111,29626,reply
1634313418667700235,29575,reply
1379864533142007818,29536,reply
56174569,29356,reply
271679201_1,27693,reply
740289692256587777,26617,reply
3645725489,26045,reply
1626503711152394241,25625,reply
19729275,25563,reply
2758599058,25430,reply
294689931,25421,reply
180727748,22966,reply
801586727307661312,22851,reply
1429121215403380743,22822,reply
1203633554036600833,22601,reply
936730549934321664,22198,reply
3318408462,21959,reply
4754526016,21907,reply
1037752338180653057,21688,reply
3042743665,21507,reply
957733672995688449,21292,reply
1967674176,20910,reply
718486457611120640,20515,reply
940151790498209792,20114,reply
994902391827914752,19852,reply
1310264530442878977,19513,reply
1131999997342441472,19487,reply
745812969154445312,18172,reply
94532034,18070,reply
1525440651797610497,18008,reply
1205830089314840576,17625,reply
1267220075590885377,17587,reply
1509172260875259905,17506,reply
1148299901819924481,17446,reply
1535443522706366464,17417,reply
1461316773588918280,17264,reply
952604455,17051,reply
804466784250249221,16970,reply
1169952206507917312,16949,reply
1396407068760887297,16896,reply
1600315707606056960,16708,reply
