id,followers,username,last_time,Hop
19739126,2511152,SpeakerMcCarthy,696474,-1
899032910,231,mtbow1000,688144,3
617804879,4031,jimhollo,688144,2
938717942,2274,CBonkosky,688144,2
1013200133268402181,4514,Just4lyn1,688144,2
723235609792380928,113,espengh,688144,1
16568041,686,Galylynn,688144,3
3462419953,3726,mhp_1776,688144,2
1109858219722190848,166,nywriter4,561739,0
2564306545,2933,scott_catharine,688144,2
821870225112993792,3653,SchoolingDiana,688144,2
834600474,2230,ptrevino1194,688144,1
517692984,2498,kmorga1,688144,2
29919827,507,bbcat259,688144,1
1311900666382745600,21,Michael30067573,556916,2
1059226663,4220,dedunlop,688144,2
1443914370937987114,1,TeressaHowell13,525948,1
1416256096663187458,5,Angelliquermc,521221,0
1617624196820963328,2,LaurieCloutie11,520827,1
1351562211425189888,1,p_hyle,513941,2
1158903371241099264,14,BryanKa45915083,509193,0
1143249893340979201,0,SickOfIt68,506727,0
1540531114837680129,1,Alive14Alive,465527,4
191458890,64,LadybugCounting,688144,1
1598848209752915969,3,travisj36345218,458860,2
36361387,21,Haveacupatea,450689,1
874741285579632640,4,FaithNet416,446002,1
1503089057257172993,5,MhmdkhaldT,444655,0
1471534126410788864,1,JoseZ16744165,438994,0
2316375672,15,createchange13,433207,2
1586031313622122496,16,ScottOw14440248,426532,2
4571923935,6,balda_francisco,420860,1
1503472442592964613,10,realmichaelmcf,420781,1
1446070711899107330,2,davidc53501043,419933,2
88724363,127,SocraToMe,688144,4
1602288497804582912,4,Jerome14563861,415755,0
40434207,59,buddymoran,413692,0
1518983465219227648,1286,BonaNaCroin,688144,1
1590904165965832192,32,crotti_terrie,397228,0
1413918628286713858,333,CBlane5,688144,1
1541902238121164800,8,AlessandriaTina,392003,0
938199038008098817,6111,KoKo1Gee,688144,2
175276905,5626,DawgsNHawks,688144,2
825546410439225344,872,Minkiemom17,688144,2
264343007,1823,teelorr1954,688144,2
1618416524246585344,7,GeorgeLessard8,377409,1
2512651145,25,guyofsa,376397,0
1563124058707079168,96,dreadendennis9,376296,1
428480497,200,PrasadJason,688144,1
823687503056142338,5500,DragonflyMama7,688144,2
1572678188547059712,4,MsGray1943,371671,0
1050542987078500353,9,patrici35595017,688144,1
296485690,950,klgro,688144,2
1622701447488888832,1,Theresa47836557,365562,0
1096116908238295040,4,kingmaxwello,364994,0
825902245896081408,984,Senorpigletto,688144,3
1006693802,87,GladysAyes,688144,1
846127897706446848,1660,elephant1417,688144,2
858816529,58,KGSUS,646662,0
1489264220046721025,32,mhuskerchzhead,688144,1
395697608,1199,KarenLee1956,688144,2
913860310255116288,3,Dammit_Beavis,354055,2
1620615643929231372,1,iamAlexIndigo,352717,1
1518673474251894786,4,ExiledPiranha,350259,2
150314000,58,jim03060,688144,1
32496199,32,cary767,349155,2
1431683090598957061,9,GarySte09701004,348536,0
23656226,4,Marianne1674,347756,0
1104494213629009920,2,VickieJ19768869,344363,0
1949570936,11,CarolBrodie2,343687,1
107288264,58,NStrandberg,343175,2
723518348,59,rhomeyn,342653,2
4884395871,233,Igtkta1983,688144,1
546590211,16,VinnyGiordano46,341728,0
785961117801603072,4,bill_osburg,341099,1
760631399175028737,3415,captaincrumble1,688144,2
335739685,226,NotNorquist,688144,4
966143731480104965,17,KevinMcGuire4u,336976,0
965244482508742657,1,magavary,336150,2
1402255504563445767,22,rivz586,327545,0
869880912523251712,115,Lin251982,327125,2
437759301,7,Bestraight2020,323530,1
1548587634452074496,17,busterposey892,314424,0
3273862824,128,4439234d179d485,688144,0
1056595824027721733,11953,Franks2ndlife,688144,2
3019544512,2338,DavidShamu,688144,2
266811389,298,bookwormwmb,688144,3
1526402211567132672,5,disappointdiane,306050,0
1233459807606263809,1339,RachelDelray,688144,1
1492195596400222216,151,joeburger700,688144,2
17125261,185,whdaffer,688144,2
872057583032573954,2185,andy_finnigan,688144,1
2691273894,1,Guesswh8tD,299174,0
2992637881,42,janiscolton1,688144,1
1103065469832056833,214,StathiosB,688144,3
32279102,7158,islamia_cm,688144,2
1416929048,1124,JohnWirt1,688144,2
1604692842542145537,13,rajput_sukhera,295165,2
750029464243884032,22,aaronSr1966,294298,1
806898421122600960,418,RubinlawPLLC,688144,3
579782524,265,johnspav64,688144,3
1501683692686749706,9,Lisa11291199,292693,2
1036054118526115840,3743,tigersharktom,688144,1
1488169024034770945,16,the1calledmikey,289177,2
536789660,32,yanceysanders,287772,2
1482902767018541056,2,ShurickCraig,285972,0
619532888,776,bigcajunwba,688144,3
107314373,85,JRipperJr,285393,0
21918138,503,amw47,688144,2
1629610570159718403,1,Mo11i3Mollie,284265,0
904583644597153793,4530,TonyFernandezS1,688144,2
788495814301593600,29,UCorporationsA,281121,1
1010591208211611649,1293,JamieHogensen,688144,2
1538710797643399170,1,m06060447,280441,0
160940319,7,ttorres66,280250,1
153784300,208,Polytemple,688144,2
81252170,24,K060542,277662,0
1535791669760897025,1,Leontin41335279,277353,0
1272568201663197185,4448,0nnaBugeisha1,688144,2
1072292322501636097,173,Paris20064,688144,2
83014190,155,RRCampbell,688144,2
2538413311,176,coltsgalll1,688144,3
1373798552,2,NMastro112,273117,2
4492124954,624,jj98navy,688144,2
1258552386,12,Jna5232Bb434,271467,0
1615495342652268544,7,Charlze99486312,270720,2
1445178720482836485,20,LynnePresley1,269912,0
2930181397,2,carter602mike,269706,1
1037496772422189061,96,Renee80375168,688144,1
470602662,84,Stephen_Ivy,688144,1
4904613572,2,lorrainew59,266871,0
2622761,3,cynvee,266434,2
1600526135154163713,4,Robbie387206111,688144,0
1587951662441775104,2,TaylorD18106281,262464,2
1496644959415406595,7,DrLisaMcConnel2,261884,1
1307537710706384896,290,KultureByKayo,688144,2
16881785,1974,bentlightnvegas,688144,1
1195916766,1,ElliottPatty,258366,0
30290910,6,takucolumbia,258363,0
797385266,47,JaniChayut,688144,2
1215695176850522113,228,SirnedelaMer1,688144,3
863776142381240320,38,yothink2020,254368,0
2591805737,134,GermStopper,688144,1
2796740709,15,thegrandmazoo,251902,0
42242808,21,atomicage,250694,1
788125329109975041,38,mrub22,688144,0
