Source,Target,T1610105053498449920,T1606110907838316544,T1604653731873800194,T1604179897274011652,T1597648648531505152
DaBman24,jalenbrunson1,1,1,1,2,1
deone_djr,jalenbrunson1,1,1,2,1,1
wweotto28,jalenbrunson1,1,1,1,2,1
antkilla520,jalenbrunson1,1,2,1,1,1
RDelreno,jalenbrunson1,1,1,1,2,1
WEHATERELL,jalenbrunson1,2,1,1,1,1
kelsstizzle,jalenbrunson1,1,1,1,2,1
TheDuttReport,jalenbrunson1,1,2,1,1,1
BeenHim10,jalenbrunson1,2,2,2,1,2
Sprewellfan8,jalenbrunson1,2,1,1,1,1
sabersburner,jalenbrunson1,1,2,2,1,2
9Fios,jalenbrunson1,2,2,2,2,2
ImJusEasyE,jalenbrunson1,2,1,1,1,1
TheMeccaMSG,jalenbrunson1,1,2,1,1,1
Knickfan881,jalenbrunson1,2,2,2,2,2
StrawhatJerry,jalenbrunson1,1,1,1,2,1
loopylifepiif,jalenbrunson1,2,1,1,1,1
SeanSherbs07,jalenbrunson1,2,1,2,1,1
denzeljuliob,jalenbrunson1,1,2,1,1,1
RPennington28,jalenbrunson1,2,1,1,1,1
BrookLOSny,jalenbrunson1,1,2,1,1,1
Brunoi1223,jalenbrunson1,1,2,1,1,1
ALGA621,jalenbrunson1,1,1,1,2,1
KAV3man03,jalenbrunson1,2,1,1,1,1
Knicksgalaxy93,jalenbrunson1,1,1,1,2,1
BarrettsGoat,jalenbrunson1,2,2,2,2,1
ElfassyLevi,jalenbrunson1,1,1,1,2,1
BenchWarmerPost,jalenbrunson1,1,1,1,2,1
PSchrantz00,jalenbrunson1,2,1,1,1,1
NBA_NewYork,jalenbrunson1,2,2,2,2,2
dysothy,jalenbrunson1,2,1,1,1,1
cazomsw,jalenbrunson1,1,2,1,1,1
TAPEDByKnicks,jalenbrunson1,2,1,2,2,2
knicks_union,jalenbrunson1,2,1,1,1,1
EricaDech,jalenbrunson1,2,1,1,1,1
MRFYNF,jalenbrunson1,1,2,1,1,1
BenonthatBS,jalenbrunson1,1,1,1,2,1
ligsNY,jalenbrunson1,1,1,1,2,1
