Source,Target,T1610105053498449920,T1606110907838316544,T1604653731873800194,T1604179897274011652,T1597648648531505152
ferromike_,TheKnicksWall,1,1,2,2,1
SplashMelo,LetsTalkKnicks_,1,2,1,1,1
cologneloring,Sprewellfan8,1,1,2,1,1
PrimeJakey,TheKnicksWall,1,1,2,2,1
milesad24,TheKnicksWall,1,1,2,1,1
OJTheNigerian,DorothyJGentry,1,2,1,1,1
dbo2mo,cynicalknicks,1,1,1,2,1
yym1987,BUFSportsTalk,2,1,1,1,1
BSTeGz,ChandlerJourdan,2,1,1,1,1
castielmach,FutureNBA0wner,1,1,1,2,1
CookBetta,BUFSportsTalk,2,1,1,1,1
ConsumedLumbago,maxplswin,2,1,1,1,1
ayabdeen,rahmmagick,2,1,1,1,1
itsunjaf,DorothyJGentry,2,1,1,1,1
hamastariq_,Obolatcan24,1,2,1,1,1
CP3Stan,DubsForever30,1,1,1,2,1
CookiesHoops,Povediitz,1,1,1,2,1
spencerf30,FutureNBA0wner,2,1,1,1,1
_kyonaj,Cookedbynobody,1,1,1,2,1
SloppyBowser,FutureNBA0wner,1,1,1,2,1
LoLifeTweets,BUFSportsTalk,2,1,1,1,1
CordellCockett3,FutureNBA0wner,1,1,1,2,1
TPhenom412,CookBetta,2,1,1,1,1
ericmass_,CookiesHoops,1,1,1,2,1
shamya88,_kyonaj,2,1,1,1,1
yyulisaa_yt,shamya88,2,1,1,1,1
OnlyOneGil,jalenbrunson1,3,3,3,4,3
brill1066,jalenbrunson1,3,3,3,4,3
finesse_father,jalenbrunson1,3,3,3,4,3
Sdot_Meezy,jalenbrunson1,3,3,3,4,3
_ASAP_Icy,jalenbrunson1,3,3,3,4,3
Johnnyboy9919,jalenbrunson1,3,3,3,4,3
Ozil_Boss,jalenbrunson1,3,3,3,4,3
gabriel25122016,jalenbrunson1,3,3,3,4,3
Shirelovesspurs,jalenbrunson1,3,3,3,4,3
Garyinsect,jalenbrunson1,3,3,3,4,3
izayBoltUp,jalenbrunson1,4,3,3,3,3
enckrsthn,jalenbrunson1,3,3,3,4,3
felicevistony,jalenbrunson1,4,3,3,3,3
OutGrindU,jalenbrunson1,3,3,3,4,3
ScoopHuncho1,jalenbrunson1,3,3,3,4,3
Sir_Marjhaye94,jalenbrunson1,3,3,3,4,3
6TrapWhat,jalenbrunson1,3,3,3,4,3
justice_e23,jalenbrunson1,3,3,3,4,3
CBF_yordy23,jalenbrunson1,3,3,3,4,3
renjovert,jalenbrunson1,3,3,3,4,3
rose73779020,jalenbrunson1,3,3,3,4,3
pawhittingham,jalenbrunson1,3,3,3,4,3
tlop55555,jalenbrunson1,3,3,3,4,3
taviankcolemann,jalenbrunson1,4,3,3,3,3
_benji99,jalenbrunson1,3,3,3,4,3
nick_upper,jalenbrunson1,3,3,3,4,3
a25nahoum,jalenbrunson1,3,4,3,3,3
ballliketrev,jalenbrunson1,3,3,3,4,3
whoallinhere,jalenbrunson1,3,3,3,4,3
jactually_,jalenbrunson1,3,3,3,4,3
FSpeech69,jalenbrunson1,3,3,3,4,3
emilliiooo,jalenbrunson1,3,3,3,4,3
LeleDylan,jalenbrunson1,3,3,3,4,3
Angelo24909449,jalenbrunson1,3,3,3,4,3
princetrunkz03,jalenbrunson1,4,3,3,3,3
aaronddehoyos,jalenbrunson1,3,3,3,4,3
Jonboiii4,jalenbrunson1,4,4,4,4,4
jonafranco_,jalenbrunson1,3,3,3,4,3
OtfDanny300,jalenbrunson1,4,3,3,3,3
cord3321,jalenbrunson1,4,3,3,3,3
Masonreed100,jalenbrunson1,4,3,3,3,3
KevinConstant5,jalenbrunson1,3,3,3,4,3
Gurmukhcheema1,jalenbrunson1,3,3,3,4,3
000JohnPaul000,jalenbrunson1,3,3,3,4,3
zanemaletsky,jalenbrunson1,4,3,3,3,3
ShemPanaguiton,jalenbrunson1,3,3,3,4,3
franfcardoso,jalenbrunson1,3,3,3,4,3
Sampson_JoelA,jalenbrunson1,4,4,4,4,4
pap1matt,jalenbrunson1,4,3,3,3,3
kevinamerica_,jalenbrunson1,3,3,3,4,3
dubnation971,jalenbrunson1,3,3,3,4,3
KPhucinTrann,jalenbrunson1,3,3,3,4,3
lucenteee,jalenbrunson1,3,3,3,4,3
_excelsus,jalenbrunson1,4,3,3,3,3
devjrba1863,jalenbrunson1,3,3,3,4,3
Sports_Psg_Mavs,jalenbrunson1,4,4,4,4,4
ASAPGoody,jalenbrunson1,3,3,3,4,3
kaiden_gehret,jalenbrunson1,3,3,3,4,3
jmr_ctctn,jalenbrunson1,3,3,3,4,3
DrippinSauceeee,jalenbrunson1,4,3,3,3,3
NW52231773,jalenbrunson1,3,3,3,4,3
eli_balcarcel2,jalenbrunson1,3,3,3,4,3
devoospam,jalenbrunson1,4,3,3,3,3
BOO_M_CTW,jalenbrunson1,4,3,3,3,3
dherrera556,jalenbrunson1,3,3,3,4,3
LBoiiRod,jalenbrunson1,3,3,3,4,3
plasma_2k,jalenbrunson1,4,3,3,3,3
YourFreeChicken,jalenbrunson1,4,3,3,3,3
TheRedMarn,jalenbrunson1,4,4,4,4,4
SeanLou79469689,jalenbrunson1,4,4,4,3,4
joshm2847,jalenbrunson1,3,3,3,4,3
ChrisBr37751140,jalenbrunson1,4,3,3,3,3
MonaLighty,jalenbrunson1,4,3,3,3,3
mido_catic,jalenbrunson1,3,3,4,3,3
PerccFranklin,jalenbrunson1,3,4,3,3,3
tanRRRb,jalenbrunson1,3,3,3,4,3
bagboykay,jalenbrunson1,3,3,3,3,4
thegodyt231,jalenbrunson1,3,3,3,4,3
_gracescott,jalenbrunson1,3,3,3,4,3
danaeusun7,jalenbrunson1,3,3,3,4,3
Sir_Gutta_,jalenbrunson1,4,4,4,4,4
y88261014,jalenbrunson1,4,3,4,4,4
WestheimerRicky,jalenbrunson1,3,3,3,4,3
unluckycrickett,jalenbrunson1,3,3,3,4,3
butcracjack,jalenbrunson1,3,3,3,4,3
w1ckedkai,jalenbrunson1,3,3,3,4,3
LaloOrtega723,jalenbrunson1,3,3,3,4,3
antinoro_nik,jalenbrunson1,3,3,3,4,3
cumbiacalnte76,jalenbrunson1,3,3,3,4,3
djarev,jalenbrunson1,3,3,3,4,3
JoseyDope,jalenbrunson1,3,3,3,4,3
kacy_okafor,jalenbrunson1,3,3,3,4,3
pingpong512,jalenbrunson1,3,3,3,4,3
ronrowan5,jalenbrunson1,4,4,4,3,4
GargerJake,jalenbrunson1,4,3,3,3,3
YumCaleb,jalenbrunson1,3,3,3,4,3
CrayonCarolyne2,jalenbrunson1,3,3,3,4,3
KashXandicoot_,jalenbrunson1,3,3,3,4,3
thecw_16,jalenbrunson1,3,3,3,4,3
VhuntertvB,jalenbrunson1,4,3,3,3,3
manning_jashun,jalenbrunson1,3,3,3,4,3
LAPG99212216,jalenbrunson1,3,3,3,4,3
luyenchou,jalenbrunson1,4,4,4,3,4
yuliayaire,jalenbrunson1,3,3,3,4,3
Elx4life,jalenbrunson1,3,3,3,4,3
Strunky_monkey,jalenbrunson1,4,3,3,3,3
Giselleeee_214,jalenbrunson1,4,3,3,3,3
MGoldstein_1,jalenbrunson1,3,3,3,4,3
zacharytaylor28,jalenbrunson1,4,3,3,3,3
1900jerry_,jalenbrunson1,3,4,4,3,4
VznryMind,jalenbrunson1,3,3,3,4,3
scottalphonso98,jalenbrunson1,3,3,3,4,3
dobbiedts_,jalenbrunson1,4,3,3,3,3
TheRealEv6,jalenbrunson1,4,3,3,3,3
KittTwo,jalenbrunson1,4,3,3,3,3
