Source,Target,t1612576063296622614,t1612576063296622614_time,t1612509545192120320,t1612509545192120320_time,t1612503789772148748,t1612503789772148748_time,t1612276811546742784,t1612276811546742784_time,t1612273411082031108,t1612273411082031108_time,t1612269254149312512,t1612269254149312512_time,t1612263492634943491,t1612263492634943491_time
cody_hall5,dallasmavs,4,9168,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
SGBohn,dallasmavs,4,72361,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
hypnotoad1TCU,dallasmavs,4,1291,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
JohnPWright7,dallasmavs,4,2486,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
RGallagher,dallasmavs,4,1870,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
joelmgarver,dallasmavs,4,1513,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
trajan2k,dallasmavs,4,606,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
LitoOVO,dallasmavs,4,5113,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
JonahBruyns,dallasmavs,4,1993,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
scottyscallin,dallasmavs,4,1923,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
CUHHKASHI,dallasmavs,4,14046,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
MajinBobbyHill,dallasmavs,4,54637,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
Joethesecond665,dallasmavs,4,24565,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
_Niniola_,dallasmavs,4,2413,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
Trizzygambino,dallasmavs,4,1779,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
filthEbacon999,dallasmavs,4,14148,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
b1ak3_cruz,dallasmavs,4,2565,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
lesloot_,dallasmavs,4,1432,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
peartplus,dallasmavs,4,413,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
matt_the_horse,dallasmavs,4,17358,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
andresheredias5,dallasmavs,4,10399,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
justinreech,dallasmavs,4,247,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
LindaLe99348835,dallasmavs,3,-1,4,22964,3,-1,3,-1,3,-1,3,-1,3,-1
Bobbleb12,dallasmavs,4,354,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
rockspores,dallasmavs,4,9855,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
rowdyrick3,dallasmavs,4,599,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
rln4389,dallasmavs,4,849,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
IronGill20,dallasmavs,4,1993,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
DarenConnel,dallasmavs,4,6579,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
AretzZachary,dallasmavs,4,5583,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
93rsolis,dallasmavs,4,3858,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
ola_says,dallasmavs,4,4353,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
huhwhatyo,dallasmavs,3,-1,3,-1,3,-1,3,-1,3,-1,4,416,3,-1
seanell08446183,dallasmavs,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1,4,258
carlos202284,dallasmavs,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1,4,26754
dawsonhaynes57,dallasmavs,4,3894,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
alilsliceofEvan,dallasmavs,4,2923,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
xxoovo817,dallasmavs,4,6949,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
connor_driscoll,dallasmavs,4,1503,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
TheDonPicks_,dallasmavs,4,2548,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
KiiNGofNothiing,dallasmavs,4,1098,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
AttackSheet,dallasmavs,4,15961,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
Llmpbrlsket,dallasmavs,4,6260,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
ogorlyog,dallasmavs,4,17426,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
GamingWalmart29,dallasmavs,4,1719,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
KalebBaker90,dallasmavs,4,702,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
starsfanamy77,dallasmavs,4,2561,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
12and28,dallasmavs,4,549,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
Grayson_PB3,dallasmavs,4,10394,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
FFarabello,dallasmavs,4,971,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
The_Palmeranian,dallasmavs,4,3060,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
xxJGill,dallasmavs,4,1629,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
OFFICIALJGZ,dallasmavs,4,5572,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
RyanCanNotRead,dallasmavs,4,712,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
BWWings,dallasmavs,4,1554,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
AubMops,dallasmavs,4,454,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
HarwoodKelcee,dallasmavs,4,2281,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
air_smith,dallasmavs,4,3618,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
alli_demoss,dallasmavs,4,3534,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
curlyflute97,dallasmavs,4,7371,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
KyleLuongo,dallasmavs,4,861,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
SandovalSandu,dallasmavs,3,-1,3,-1,3,-1,3,-1,4,73,3,-1,3,-1
DKTrey32,dallasmavs,4,617,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
MeSoHornsby,dallasmavs,4,402,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
Jaydenpicksss,dallasmavs,4,5906,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
