level_0,index,id,time,type,followers,usernames
154,9614,1373392512224796673,5541,retweet,363,uararebreed
155,7970,1446918369727467534,5542,quote,498,voodoopucci
156,9613,1379775865899352067,5616,retweet,617,Barbforlifehoe2
159,389,1166931615240663040,5710,reply,2123,thundermaraj
162,387,1078887394860969985,5837,reply,1972,OnikaView
163,9611,1404239370568224774,5891,retweet,680,kthxag
164,386,1065781091104186368,5893,reply,163,ladychomei
165,9610,1357022254966710272,5924,retweet,4229,alvarogzzm
166,385,1236649876542435330,5951,reply,198,barbtwink
168,7968,2203413461,6034,quote,831,rxsing
169,9609,1294537538154233858,6064,retweet,1675,gabescoochie
170,7967,150445570,6068,quote,969,BANGWOOL_K
171,7966,2997436332,6093,quote,587,LOUDMXRS
173,9608,863884200440610816,6235,retweet,216,allanciaga
175,9607,1129149544137187329,6281,retweet,2684,generaaabiba
176,9606,1027300855480049672,6283,retweet,169,spicey_bich
177,9605,205425865,6320,retweet,1231,Jxrmxine
178,9604,1421949508645236743,6377,retweet,151,dojamice
179,7963,852786895,6473,quote,806,aftwentyeight
181,7962,1124014813393432579,6537,quote,436,taylor_kinge
182,7961,1302153897243553792,6580,quote,1754,cameronnsparty
183,9603,1275564997943480322,6607,retweet,250,bloodyred00
184,7960,777690488786657280,6627,quote,1973,nickkatnite
185,7959,24329015,6642,quote,992,pyt_shiek
186,7958,1176289617940754434,6666,quote,593,ethancaptor
188,7957,1122730713181237248,6679,quote,1621,xsanti__
190,9602,1296329125678813184,6804,retweet,65,brabzzzzzz
191,382,1445889861374726154,6842,reply,191,roasted_smore
193,9600,1005783911002202112,6879,retweet,1054,m_A_liv
194,381,1429503706689638401,6890,reply,246,MOCKIANA
195,9599,3074162506,6920,retweet,,
197,380,1376628401612677121,7001,reply,758,swtslovers
198,9597,1390887067194781696,7020,retweet,394,nanonkaty
199,379,966394228480925696,7020,reply,1785,BRII_STARR
200,378,1431882299071664131,7055,reply,360,IGGYGREECE3
201,9596,940796635021561857,7167,retweet,98,naujleunam_
202,7955,782229654283423744,7172,quote,271,bellaniquee
204,7954,1231485482724470784,7208,quote,389,_LoBee
208,7952,3423212577,7386,quote,913,andimstressing
209,376,1481456734963130371,7479,reply,588,tooooblessed16
210,7951,1419915907950854145,7481,quote,96,BrookyBoredom
212,9593,895698677372772353,7520,retweet,520,RT02F
213,374,1587263967235186688,7597,reply,402,Die4Dollazz
214,9592,1566054944850976769,7628,retweet,479,kayleehazell
215,7950,1591233834154180608,7638,quote,271,niggapremacist
216,9591,847448457941995521,7747,retweet,1681,ShugaNuella
217,9590,1258196231735607299,7761,retweet,2536,akhingomso
218,7949,111194804,7792,quote,623,MoFuckaImILL
219,9589,1059526948639125506,7867,retweet,1232,WandasXanny
221,9588,716514186654646273,7962,retweet,942,mnerva99
222,9587,1215867036934594561,7973,retweet,1026,Muscle_Milk89
223,7947,1362345909800042503,7993,quote,58,BigBique
227,7944,3302343181,8039,quote,2105,LonLonBougie
228,9585,849931009948872705,8080,retweet,1855,NyoonaM
229,372,1566111507905236992,8084,reply,467,Diee4guy
231,9584,1589288461311397889,8156,retweet,265,onikascumragg
233,7943,697293632911466496,8220,quote,773,jjiimmyyyyyy
234,9583,1298245794412208131,8272,retweet,3375,inmyheadlinepov
238,9581,1500856718758236163,8450,retweet,211,ofina_c
239,9580,2808671945,8549,retweet,3600,LightskinnShawn
240,9579,1245076841586667520,8580,retweet,912,hardcandy990
241,7940,380103385,8624,quote,907,Jess_WentXO
242,370,915492250271965185,8625,reply,1155,rishabh_kenbarb
243,9578,876092588964667392,8653,retweet,681,RyanTooPetty
246,9577,1528921277871841286,8808,retweet,7,Bunnieswrld
247,9576,1525799190332329985,8813,retweet,664,kaminaribuff
248,7938,1303382405097697286,8890,quote,229,Benj_hock
249,7937,804852265,8972,quote,337,RoDakilla
251,9574,1004919544832544769,9023,retweet,311,vvsisbussin
253,368,1342288384551759875,9219,reply,165,tahjebe_taye
256,7934,1057409689938546689,9313,quote,61,MFRonNinja
257,367,281616889,9326,reply,361,MTirado92
258,7933,1303731320825221120,9358,quote,2477,SherwienVinay
259,7932,1224736387087376387,9386,quote,396,340jada
260,9572,1271070955255861248,9425,retweet,1415,minaj_cki
261,9571,900818708242853888,9448,retweet,1862,Minajesty_eesha
262,366,1563926922983243777,9460,reply,308,beenlikemusti
263,7931,2218517760,9468,quote,354,eccedentesianst
265,7930,1223292295442845696,9563,quote,3516,abelsdawnn
267,7929,1090756064189001728,9742,quote,1359,TyshawnTyshawn2
268,9568,1439613882226692098,9747,retweet,5003,jason_yandi
269,365,922088628540633088,9767,reply,913,auberlink
270,7928,1212135023102418944,9794,quote,549,bunnythagod
271,7927,1109437297311789056,9802,quote,148,thascarletbxtch
273,7926,1174120976969125888,9910,quote,1092,lipstickbarbb
274,9567,1098739322558337025,9963,retweet,872,BlondeTremaine
275,9566,1125322121511489536,9992,retweet,272,Botix_Boris
277,7925,1198730363356549120,10164,quote,1642,britneymcfc
278,7924,363471422,10186,quote,742,TonibTrill
280,9564,930255775330480129,10258,retweet,795,sweetenerswhore
281,9563,954010469211123713,10268,retweet,547,longIivezack
282,7923,1413266227649187849,10340,quote,930,Hissapetty
284,9562,1492974673843347462,10420,retweet,30,Kurowashi__
287,9560,2560219467,10481,retweet,57,niaxxxx3
291,7920,1576405626225401856,10714,quote,57,sluhtagenda
292,7919,1067517186,10766,quote,571,matthuggh
293,361,1277815550375329797,10772,reply,188,YO_YOUGOTBREAD
294,7918,3287257777,10839,quote,185,galindhoee
295,360,1367094360291086337,10862,reply,38855,yassnito
296,7917,409196608,10867,quote,713,hall_dearius
297,7916,1240780835386806273,10877,quote,117,hypno_David
301,7913,1443808457195499538,10988,quote,985,leadmain
302,7912,923716386,10991,quote,3023,JuanGM_00
303,359,1267320435798151168,11017,reply,148,StoopidKz
304,7911,1546593302572670977,11032,quote,189,sweetprismile
305,7910,1569790897189187584,11035,quote,434,CharmaineTingz
306,7909,1374708956577271811,11046,quote,2004,MINAJCALS
307,358,1436488262579851264,11055,reply,76,lanalcver
308,9556,1198695585781403648,11085,retweet,24401,OVOBOIBOI_
309,7908,1565384979693150208,11105,quote,137,Jimme_neutronn
310,9555,1559722252463218691,11119,retweet,237,thegyaljaya
313,7906,1120522106561814528,11262,quote,1420,BN_LUXXE
315,7905,2735283729,11332,quote,1877,scorptini
317,9552,1570431527657283589,11419,retweet,744,9mavericcc
318,9551,2204143358,11517,retweet,802,JaymereLLC
319,9550,1334899289412300800,11541,retweet,728,DashawnMcculley
320,9549,3386868442,11562,retweet,774,_originaljulian
321,9548,1531994372564299780,11651,retweet,122,yejisruby
322,9547,1396357388807163904,11652,retweet,207,KliffSaint
323,9546,1587773016343298048,11693,retweet,72,HoneyBarb420
324,9545,1080683282537287681,11842,retweet,1471,galianosnake
325,357,1534782428128194560,11884,reply,70,evlgntnc
326,7903,905825718382231552,11924,quote,644,dwaotyy
327,9544,4259741237,11996,retweet,573,floyoncee
329,9542,265555159,12013,retweet,875,CareBear_Kara
330,356,3221199270,12018,reply,581,XAYONCEE
332,355,1331336719812136960,12065,reply,237,Nickisbarb11
334,7901,599575652,12200,quote,1000,jaf_stream
336,9540,1581332778909679617,12207,retweet,576,LuxxTheeICON
337,9539,836382626537750528,12227,retweet,639,MirkoKC
338,353,1348853686227922945,12228,reply,396,KatyCat1667
339,7900,715666171345911809,12290,quote,817,SnarkBreathing
340,9538,1370896210274496514,12358,retweet,8589,stickysweett1
341,9537,502946997,12403,retweet,3734,Ja_cobjpg
342,7899,1455711046841380873,12407,quote,1878,Gog31566801
344,7898,1512986688032759808,12448,quote,517,MAMACITAMAYHEM
349,7896,1016856076598370309,12526,quote,446,M00nlightAris
350,7895,1235253257947230208,12534,quote,1277,LeeBruh_Greene
352,7894,3081491108,12665,quote,3921,therosegawden
353,9535,1522480290903609344,12687,retweet,468,YannaG23
355,9533,1519013829107195904,12803,retweet,,
356,7893,1361020739688751104,12810,quote,2171,godgatica
358,9532,109743217,12865,retweet,997,DontMoveDirtBag
360,7891,1136667573087608832,12920,quote,3583,oluwadha_yur
361,9531,1456684433537437702,12924,retweet,601,mimyonce_
362,9530,1323321737409384448,12999,retweet,72,Huuugooo4
364,9529,885385800426323968,13130,retweet,1288,selanari_minaj
365,347,4495486583,13134,reply,1418,gdgmaf
366,9528,1288232576348385281,13188,retweet,91,rubywubie
367,7889,965338216223137792,13248,quote,171,kantonioc
368,9527,1213521040392912896,13258,retweet,1433,hes_karim
369,9526,350640413,13266,retweet,853,AriesinVirgo
370,7888,68817526,13319,quote,4011,___KvngDee
371,9525,1392668497046642692,13335,retweet,441,vinexfenty
375,7886,756576476653359104,13443,quote,292,JC_PrettyM
377,9521,1223356748440002564,13509,retweet,1995,Milkdonna
380,9520,249809287,13564,retweet,1665,_RRicowei
382,345,1361761146756333574,13596,reply,862,EverLess8
384,7883,1511692113477615624,13681,quote,215,Senseofickyness
385,9518,714549627287166976,13691,retweet,708,abrahambarbz
387,7882,1005515641,13701,quote,846,jayelmarques
388,7881,263810700,13841,quote,1271,Mr_Walker6
389,7880,1413803720,13859,quote,1334,Rell_LovesCi
390,343,1588979702298984448,13975,reply,328,NickiDelMinaj
391,7879,1459821989841887235,14007,quote,264,evaforevrr
392,342,186823252,14045,reply,3585,TheGoldenAdonis
393,9517,4891837468,14072,retweet,1525,doofiddy
394,341,1328770394900238337,14084,reply,137,Avac1ous
396,7877,1318993489397514241,14102,quote,56,VetePrint
397,9516,1477437196894310402,14134,retweet,911,dojeaji
398,9515,560649262,14180,retweet,1927,ThirstyForGaga
399,340,1272265201686110208,14210,reply,2576,hey_Rell
400,7876,47856468,14246,quote,3547,SharifeLove
401,9514,1344727910,14260,retweet,1422,aroatil
403,9513,2744079725,14293,retweet,240,tharealleo29
404,7874,1325259698761764868,14299,quote,1686,analateical
408,339,1311158250780405760,14408,reply,460,Yeraaaaa2
409,9511,59199817,14432,retweet,12645,ijayt205
410,9510,1547728458528071688,14474,retweet,1219,YKfromdabay
412,338,187014901,14514,reply,803,__LocaBaybee
413,9508,1426264727286599685,14593,retweet,40315,kyali925
414,7871,709164103663652864,14641,quote,432,ewwjazzy
415,9507,2222094098,14654,retweet,1367,treasurethik
416,7870,382793105,14682,quote,1867,Dbjr97
417,9506,931304775714557952,14759,retweet,475,OnikasBarbiana
418,337,948751451106562048,14846,reply,196,robo_tch
419,9505,2724951737,14848,retweet,2008,eddieKAI2the_n
421,9504,1293433605507538945,14888,retweet,721,ddaammaasso
423,9503,1039336565439250437,14927,retweet,395,patrickdoja
424,7867,1234948682568683521,14946,quote,1116,directorsmiso
427,7865,1391695805271068673,14964,quote,489,arushcantmiss
428,7864,30282549,14985,quote,1801,Chacarlo
430,336,1574130373742706695,15035,reply,112,Bbaby3maya
431,9501,588770586,15053,retweet,10428,_Goateir
432,9500,61613591,15070,retweet,2344,StephCalzolari_
433,9499,1480606955844431873,15088,retweet,12664,itskillakenz
434,7862,1188329042,15094,quote,4392,pttercrux
435,7861,50527869,15094,quote,126,Ivan_ftw
437,7860,937105789159903240,15099,quote,2034,tyunswt
438,7859,1365195847617634305,15169,quote,95,brycejordan68
440,335,3381261135,15185,reply,107,rihannasburner
442,9495,2793652720,15198,retweet,481,_dakash
443,334,843884410877497346,15199,reply,936,LucaGuadagnegro
445,9494,1381208533153239046,15237,retweet,2469,minajsIife
448,9493,1551440835153108993,15381,retweet,42,ry_barbie92
450,9492,1605434961728782337,15389,retweet,218,acexxbarbie
455,7851,709511479,15439,quote,103,RicoJosafatrico
457,7850,299744314,15502,quote,926,FranRiveroC
461,7846,2508897661,15570,quote,179,EsdrxsR
466,7842,1550152506939940868,15757,quote,7,LZFXCV_backup
469,7839,914609574736363521,15796,quote,457,javiolli
470,7838,30980745,15811,quote,1027,You_Cant_Take
471,333,1250375843538522112,15884,reply,98,TheeTickFigaaa
472,7837,1176695510624849922,15887,quote,972,LilAssX
473,9488,327811311,15903,retweet,25918,cesarsoberanis_
476,332,348019156,15966,reply,3074,wavruby
477,9486,1500648790142984194,15969,retweet,875,angelllofmine
479,9485,1115791314405093376,15987,retweet,1364,NathanAzalean
481,9484,990824025889820673,16013,retweet,1423,davyygrande
482,9483,761435296584138752,16032,retweet,360,memphiii
483,7833,1176966795317714947,16041,quote,487,luvjadia
